UnidadFiscalizableId,SiglaInstrumento,NombreRegion,NombreRegionProyecto
248,RCA,Interregional,Interregional
248,RCA,Interregional,Interregional
248,NE,NA,NA
248,RCA,Región Metropolitana,Región Metropolitana
250,RCA,Región Metropolitana,Región Metropolitana
250,RCA,Región Metropolitana,Región Metropolitana
250,RCA,Región Metropolitana,Región Metropolitana
250,RCA,Región Metropolitana,Región Metropolitana
250,RCA,Región Metropolitana,Región Metropolitana
250,RCA,Región Metropolitana,Región Metropolitana
250,RCA,Región Metropolitana,Región Metropolitana
250,RCA,Región Metropolitana,Región Metropolitana
250,RCA,Región Metropolitana,Región Metropolitana
250,RCA,Región Metropolitana,Región Metropolitana
250,RCA,Región Metropolitana,Región Metropolitana
250,RCA,Región Metropolitana,Región Metropolitana
250,RCA,Región Metropolitana,Región Metropolitana
250,NE,NA,NA
250,PC,NA,NA
250,MP,NA,NA
252,RCA,Región Metropolitana,Región Metropolitana
252,RCA,Región Metropolitana,Región Metropolitana
252,RCA,Región Metropolitana,Región Metropolitana
253,RCA,Región Metropolitana,Región Metropolitana
253,RCA,Región Metropolitana,Región Metropolitana
253,RCA,Región Metropolitana,Región Metropolitana
253,PC,NA,NA
254,RCA,Región de Arica y Parinacota,NA
255,RCA,Interregional,Interregional
256,RCA,Región de Arica y Parinacota,Región de Arica y Parinacota
257,RCA,Región de Tarapacá,Región de Arica y Parinacota
257,RCA,Región de Arica y Parinacota,Región de Arica y Parinacota
258,RCA,Región de Arica y Parinacota,NA
259,RCA,Región de Arica y Parinacota,NA
260,RCA,Región de Arica y Parinacota,NA
261,RCA,Región de Arica y Parinacota,NA
262,RCA,Región de Arica y Parinacota,NA
263,RCA,Interregional,Interregional
264,RCA,Región de Tarapacá,Interregional
265,RCA,Región de Arica y Parinacota,NA
266,RCA,Región de Arica y Parinacota,NA
268,RCA,Región de Tarapacá,Región de Tarapacá
269,RCA,Región de Arica y Parinacota,NA
269,NE,NA,NA
270,RCA,Región de Arica y Parinacota,NA
271,RCA,Región de Arica y Parinacota,NA
272,RCA,Región de Arica y Parinacota,NA
273,RCA,Región de Arica y Parinacota,NA
274,RCA,Región de Arica y Parinacota,NA
275,RCA,Región de Arica y Parinacota,NA
276,RCA,Región de Arica y Parinacota,NA
277,RCA,Región de Tarapacá,Región de Arica y Parinacota
278,RCA,Región de Tarapacá,Región de Arica y Parinacota
279,RCA,Región de Arica y Parinacota,NA
280,RCA,Región de Arica y Parinacota,NA
281,RCA,Región de Arica y Parinacota,NA
283,RCA,Región de Arica y Parinacota,NA
284,RCA,Región de Arica y Parinacota,Región de Arica y Parinacota
285,RCA,Región de Arica y Parinacota,Región de Arica y Parinacota
286,RCA,Región de Arica y Parinacota,NA
287,RCA,Región de Tarapacá,Región de Arica y Parinacota
288,RCA,Región de Arica y Parinacota,NA
289,RCA,Región de Arica y Parinacota,NA
291,RCA,Región de Tarapacá,Región de Tarapacá
291,RCA,Región de Arica y Parinacota,NA
292,RCA,Región de Arica y Parinacota,NA
293,RCA,Región de Tarapacá,Región de Arica y Parinacota
294,RCA,Región de Tarapacá,Región de Tarapacá
295,RCA,Región de Tarapacá,Región de Tarapacá
295,RCA,Región de Tarapacá,Región de Tarapacá
295,RCA,Región de Tarapacá,Región de Tarapacá
295,RCA,Región de Tarapacá,Región de Tarapacá
295,RCA,Región de Tarapacá,NA
295,NE,NA,NA
295,RSMA,NA,NA
295,LEY,NA,NA
295,RCA,Región de Tarapacá,Región de Tarapacá
296,RCA,Región de Tarapacá,NA
298,RCA,Región de Tarapacá,Región de Tarapacá
298,RCA,Región de Tarapacá,Región de Tarapacá
298,RCA,Región de Tarapacá,Región de Tarapacá
298,RCA,Región de Tarapacá,Región de Tarapacá
298,RCA,Región de Tarapacá,Región de Tarapacá
299,RCA,Región de Tarapacá,Región de Tarapacá
299,RCA,Región de Tarapacá,Región de Tarapacá
299,RCA,Región de Tarapacá,Región de Tarapacá
299,RCA,Región de Tarapacá,Región de Tarapacá
299,RCA,Región de Tarapacá,Región de Tarapacá
299,RCA,Región de Tarapacá,Región de Tarapacá
299,RCA,Región de Tarapacá,Región de Tarapacá
299,RCA,Región de Tarapacá,Región de Tarapacá
299,RCA,Región de Tarapacá,Región de Tarapacá
299,RCA,Región de Antofagasta,Región de Antofagasta
299,RCA,Región de Tarapacá,Región de Tarapacá
299,LEY,NA,NA
299,RCA,Región de Tarapacá,Región de Tarapacá
300,RCA,Región de Tarapacá,Región de Tarapacá
301,RCA,Región de Tarapacá,Región de Tarapacá
301,RCA,Región de Tarapacá,NA
304,RCA,Interregional,Interregional
304,PC,NA,NA
304,MP,NA,NA
305,RCA,Interregional,Interregional
306,RCA,Región de Tarapacá,NA
307,RCA,Región de Tarapacá,Región de Arica y Parinacota
